Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2006-02-27,2646.95,2662.75,2646.95,2660.7,176558626,4811.21
2006-02-28,2673.75,2675.4,2622.6,2658.95,263303809,7771.86
2006-03-01,2655.0,2700.85,2652.45,2698.6,261643194,7859.98
2006-03-02,2715.1,2735.25,2708.8,2722.0,273687390,8255.55
2006-03-03,2730.9,2738.75,2712.65,2724.25,197017955,6570.55
2006-03-06,2731.5,2762.7,2731.5,2761.05,222345104,6136.25
2006-03-07,2763.7,2771.15,2752.6,2767.2,265300307,7800.97
2006-03-08,2769.95,2775.9,2710.2,2715.0,262851693,8991.18
2006-03-09,2719.55,2728.75,2680.5,2726.75,219956506,7418.5
2006-03-10,2744.25,2771.3,2744.25,2765.85,224951211,6855.5
2006-03-13,2776.95,2797.05,2774.1,2780.0,212691043,6329.12
2006-03-14,2788.0,2796.4,2764.8,2771.15,214174931,6780.4
2006-03-16,2785.25,2791.45,2777.55,2789.35,197767818,6605.77
2006-03-17,2802.3,2807.95,2784.9,2790.05,193043582,6327.04
2006-03-20,2807.95,2813.95,2801.1,2812.5,184544445,5120.9
2006-03-21,2809.8,2833.2,2798.05,2809.4,208303511,6399.73
2006-03-22,2805.4,2812.35,2776.3,2789.3,193714203,6003.94
2006-03-23,2802.0,2810.85,2781.7,2796.9,229428201,6150.49
2006-03-24,2803.95,2824.35,2801.1,2821.55,251344683,6337.81
2006-03-27,2828.1,2855.95,2828.1,2851.75,273961630,6650.14
2006-03-28,2861.3,2868.55,2839.75,2844.15,243942003,6276.04
2006-03-29,2854.95,2866.95,2848.6,2864.4,218730200,5874.11
2006-03-30,2875.35,2909.1,2875.35,2901.15,314019737,9298.79
2006-03-31,2903.65,2923.15,2884.95,2910.35,267473984,8233.15
2006-04-03,2918.6,2977.2,2918.6,2974.1,229202719,6964.43
2006-04-04,2988.55,3004.1,2968.6,2993.0,291314318,7814.36
2006-04-05,3008.1,3023.45,2999.1,3022.3,285150902,7848.19
2006-04-07,3048.95,3055.4,2969.55,2977.5,363162538,11452.13
2006-04-10,2983.75,2998.7,2962.5,2994.3,269287603,7608.71
2006-04-12,2996.1,3007.1,2914.3,2924.25,329525805,9785.73
2006-04-13,2927.2,2927.2,2826.8,2884.4,309066241,10287.74
2006-04-17,2924.5,2949.25,2911.55,2943.9,228751754,7222.5
2006-04-18,2973.7,3007.65,2973.7,3005.85,250876238,8369.61
2006-04-19,3030.95,3044.45,2994.85,3017.65,290371267,8939.96
2006-04-20,3032.75,3040.7,3015.25,3038.3,260156365,8479.88
2006-04-21,3049.3,3052.65,2996.65,3034.75,283949732,9635.04
